"","tax_ag_kos","tax_ag_kos_n","tax_ag_tax"
"K01945","K01945","5","Chromerida_K01945,Rhodophyta_K01945,High-light Pro_K01945,Crocosphaera_K01945,SAR92_K01945"
"K01251","K01251","5","Bacillariophyta_K01251,Cercozoa_K01251,Ochrophyta_K01251,Crocosphaera_K01251,SAR324_K01251"
"K05864","K05864","5","Bacillariophyta_K05864,Chlorarachniophyta_K05864,Chlorophyta_K05864,Haptophyta_K05864,Sarcomastigophora_K05864"
"K09567","K09567","5","Bacillariophyta_K09567,Chlorarachniophyta_K09567,Chlorophyta_K09567,Cryptophyta_K09567,Haptophyta_K09567"
"K08054","K08054","5","Bacillariophyta_K08054,Bicosoecida_K08054,Haptophyta_K08054,Ochrophyta_K08054,Sarcomastigophora_K08054"
"K08057","K08057","5","Bacillariophyta_K08057,Bicosoecida_K08057,Haptophyta_K08057,Ochrophyta_K08057,Sarcomastigophora_K08057"
"K09551","K09551","5","Bacillariophyta_K09551,Bicosoecida_K09551,Haptophyta_K09551,Ochrophyta_K09551,Sarcomastigophora_K09551"
"K09487","K09487","5","Bacillariophyta_K09487,Bicosoecida_K09487,Haptophyta_K09487,Ochrophyta_K09487,SAR116_K09487"
"K00162","K00162","5","Bacillariophyta_K00162,Cryptophyta_K00162,High-light Pro_K00162,Crocosphaera_K00162,SAR116_K00162"
"K01689","K01689","5","Bacillariophyta_K01689,Cercozoa_K01689,Haptophyta_K01689,High-light Pro_K01689,Crocosphaera_K01689"
"K01955","K01955","5","Bacillariophyta_K01955,Haptophyta_K01955,--_K01955,Crocosphaera_K01955,Other Bacteroidetes_K01955"
"K10705","K10705","5","Bacillariophyta_K10705,Bicosoecida_K10705,Cercozoa_K10705,Haptophyta_K10705,Ochrophyta_K10705"
"K15987","K15987","5","Bacillariophyta_K15987,Haptophyta_K15987,Ochrophyta_K15987,Flavobacteriia_K15987,Marinimicrobia_K15987"
"K01803","K01803","5","Bacillariophyta_K01803,Chlorophyta_K01803,Haptophyta_K01803,Ochrophyta_K01803,Crocosphaera_K01803"
"K03231","K03231","5","Bacillariophyta_K03231,Chlorophyta_K03231,Cryptophyta_K03231,Euglenozoa_K03231,Haptophyta_K03231"
"K02719","K02719","5","Bacillariophyta_K02719,Chlorophyta_K02719,Haptophyta_K02719,Ochrophyta_K02719,Crocosphaera_K02719"
"K01783","K01783","5","Bacillariophyta_K01783,Chlorarachniophyta_K01783,Haptophyta_K01783,Ochrophyta_K01783,Crocosphaera_K01783"
"K00253","K00253","5","Bacillariophyta_K00253,Bicosoecida_K00253,Chlorophyta_K00253,Haptophyta_K00253,Ochrophyta_K00253"
"K04564","K04564","5","Bacillariophyta_K04564,Haptophyta_K04564,Ochrophyta_K04564,SAR116_K04564,Roseobacter_K04564"
"K03526","K03526","5","Bacillariophyta_K03526,Cercozoa_K03526,Haptophyta_K03526,Ochrophyta_K03526,Crocosphaera_K03526"
"K07944","K07944","5","Bacillariophyta_K07944,Cercozoa_K07944,Euglenozoa_K07944,Haptophyta_K07944,Ochrophyta_K07944"
"K00526","K00526","5","Bacillariophyta_K00526,Rhodophyta_K00526,Cyanothece_K00526,Other Bacteroidetes_K00526,Crocosphaera_K00526"
"K02634","K02634","5","Bacillariophyta_K02634,Ochrophyta_K02634,Crocosphaera_K02634,High-light Pro_K02634,Eukaryota_K02634"
"K01698","K01698","5","Bacillariophyta_K01698,Haptophyta_K01698,Ochrophyta_K01698,Crocosphaera_K01698,SAR86_K01698"
"K00235","K00235","5","Bacillariophyta_K00235,Cercozoa_K00235,Chlorophyta_K00235,Haptophyta_K00235,Ochrophyta_K00235"
"K05298","K05298","5","Bacillariophyta_K05298,Bicosoecida_K05298,Chlorophyta_K05298,Haptophyta_K05298,Ochrophyta_K05298"
"K03386","K03386","5","Bacillariophyta_K03386,Cryptophyta_K03386,Haptophyta_K03386,High-light Pro_K03386,Other Alphaproteobacteria_K03386"
"K02945","K02945","5","Bacillariophyta_K02945,Haptophyta_K02945,OM60/NOR5_K02945,Crocosphaera_K02945,Roseobacter_K02945"
"K00208","K00208","5","Bacillariophyta_K00208,Haptophyta_K00208,Low-light Pro_K00208,Other Gammaproteobacteria_K00208,Crocosphaera_K00208"
"K02988","K02988","5","Bacillariophyta_K02988,Haptophyta_K02988,High-light Pro_K02988,Eukaryota_K02988,Crocosphaera_K02988"
"K03545","K03545","5","Bacillariophyta_K03545,Cryptophyta_K03545,Haptophyta_K03545,Crocosphaera_K03545,High-light Pro_K03545"
"K02704","K02704","5","Bacillariophyta_K02704,Ochrophyta_K02704,High-light Pro_K02704,Crocosphaera_K02704,Eukaryota_K02704"
"K02637","K02637","5","Bacillariophyta_K02637,Chlorophyta_K02637,Haptophyta_K02637,Eukaryota_K02637,Crocosphaera_K02637"
"K01883","K01883","5","Bicosoecida_K01883,Cryptophyta_K01883,Haptophyta_K01883,Other Bacteroidetes_K01883,High-light Pro_K01883"
"K09566","K09566","5","Chlorarachniophyta_K09566,Chlorophyta_K09566,Haptophyta_K09566,Ochrophyta_K09566,Rhodophyta_K09566"
"K03087","K03087","5","Chlorarachniophyta_K03087,Chlorophyta_K03087,Haptophyta_K03087,Ochrophyta_K03087,Crocosphaera_K03087"
"K11252","K11252","5","Chlorophyta_K11252,Haptophyta_K11252,Ochrophyta_K11252,Sarcomastigophora_K11252,Eukaryota_K11252"
"K01802","K01802","5","Chlorophyta_K01802,Haptophyta_K01802,Ochrophyta_K01802,High-light Pro_K01802,Crocosphaera_K01802"
"K02906","K02906","5","Chlorophyta_K02906,Haptophyta_K02906,Eukaryota_K02906,Crocosphaera_K02906,High-light Pro_K02906"
"K02916","K02916","5","Chlorophyta_K02916,Haptophyta_K02916,High-light Pro_K02916,OM60/NOR5_K02916,Actinobacteria_K02916"
"K00380","K00380","5","Chlorophyta_K00380,Haptophyta_K00380,Ochrophyta_K00380,Euryarchaeota_K00380,Other Gammaproteobacteria_K00380"
"K02867","K02867","5","Chlorophyta_K02867,Haptophyta_K02867,Eukaryota_K02867,High-light Pro_K02867,Crocosphaera_K02867"
"K03639","K03639","5","Chlorophyta_K03639,Cryptophyta_K03639,Haptophyta_K03639,Rhodophyta_K03639,High-light Pro_K03639"
"K02887","K02887","5","Chlorophyta_K02887,Haptophyta_K02887,Eukaryota_K02887,High-light Pro_K02887,Crocosphaera_K02887"
"K09013","K09013","5","Chlorophyta_K09013,Haptophyta_K09013,SAR116_K09013,Crocosphaera_K09013,Other Alphaproteobacteria_K09013"
"K03694","K03694","5","Haptophyta_K03694,SAR116_K03694,Other Alphaproteobacteria_K03694,SAR92_K03694,Roseobacter_K03694"
"K03695","K03695","5","Haptophyta_K03695,SAR324_K03695,Other Alphaproteobacteria_K03695,SAR92_K03695,High-light Pro_K03695"
"K02871","K02871","5","Haptophyta_K02871,Eukaryota_K02871,High-light Pro_K02871,Euryarchaeota_K02871,Crocosphaera_K02871"
"K02108","K02108","5","Ochrophyta_K02108,High-light Pro_K02108,Crocosphaera_K02108,Eukaryota_K02108,Rivulariaceae_K02108"
"K01495","K01495","5","Ochrophyta_K01495,Cyanothece_K01495,SAR92_K01495,Crocosphaera_K01495,High-light Pro_K01495"
"K02689","K02689","5","Rhodophyta_K02689,Crocosphaera_K02689,High-light Pro_K02689,Synechococcus_K02689,Eukaryota_K02689"
"K06890","K06890","5","High-light Pro_K06890,SAR11-like_K06890,SAR11_K06890,SAR116_K06890,Other Alphaproteobacteria_K06890"
"K01937","K01937","5","High-light Pro_K01937,SAR11-like_K01937,SAR86_K01937,SAR92_K01937,SAR11_K01937"
"K02965","K02965","5","High-light Pro_K02965,SAR11_K02965,Eukaryota_K02965,Crocosphaera_K02965,SAR92_K02965"
"K03702","K03702","5","Low-light Pro_K03702,High-light Pro_K03702,SAR116_K03702,Roseobacter_K03702,Other Alphaproteobacteria_K03702"
"K02014","K02014","5","Other Alphaproteobacteria_K02014,--_K02014,Other Gammaproteobacteria_K02014,SAR86_K02014,Rivulariaceae_K02014"
"K02982","K02982","5","High-light Pro_K02982,Eukaryota_K02982,Crocosphaera_K02982,OM60/NOR5_K02982,Actinobacteria_K02982"
"K00826","K00826","5","High-light Pro_K00826,SAR11-like_K00826,SAR11_K00826,SAR116_K00826,Other Alphaproteobacteria_K00826"
"K02881","K02881","5","High-light Pro_K02881,Eukaryota_K02881,Crocosphaera_K02881,SAR86_K02881,Euryarchaeota_K02881"
"K03088","K03088","5","Crocosphaera_K03088,SAR92_K03088,Roseobacter_K03088,SAR86_K03088,Other Alphaproteobacteria_K03088"
"K03568","K03568","5","SAR116_K03568,High-light Pro_K03568,Other Alphaproteobacteria_K03568,Crocosphaera_K03568,SAR11_K03568"
"K02950","K02950","5","Eukaryota_K02950,High-light Pro_K02950,SAR11_K02950,SAR116_K02950,--_K02950"
"K08300","K08300","5","SAR11_K08300,Crocosphaera_K08300,SAR92_K08300,High-light Pro_K08300,--_K08300"
"K08956","K08956","4","Dinophyta_K08956,Bacillariophyta_K08956,Haptophyta_K08956,Ochrophyta_K08956"
"K09563","K09563","4","Dinophyta_K09563,Chlorarachniophyta_K09563,Cryptophyta_K09563,Ochrophyta_K09563"
"K15427","K15427","4","Dinophyta_K15427,Chlorarachniophyta_K15427,Haptophyta_K15427,Rhodophyta_K15427"
"K02994","K02994","4","Dinophyta_K02994,High-light Pro_K02994,Crocosphaera_K02994,Eukaryota_K02994"
"K00647","K00647","4","Dinophyta_K00647,Bacillariophyta_K00647,Haptophyta_K00647,Ochrophyta_K00647"
"K00876","K00876","4","Dinophyta_K00876,Cercozoa_K00876,Ochrophyta_K00876,High-light Pro_K00876"
"K08909","K08909","4","Dinophyta_K08909,Bacillariophyta_K08909,Chlorophyta_K08909,Haptophyta_K08909"
"K12402","K12402","4","Dinophyta_K12402,Bacillariophyta_K12402,Haptophyta_K12402,Ochrophyta_K12402"
"K00616","K00616","4","Dinophyta_K00616,Bacillariophyta_K00616,High-light Pro_K00616,Crocosphaera_K00616"
"K16345","K16345","4","Dinophyta_K16345,Haptophyta_K16345,Ochrophyta_K16345,Sarcomastigophora_K16345"
"K02996","K02996","4","Chromerida_K02996,High-light Pro_K02996,Eukaryota_K02996,SAR11_K02996"
"K00099","K00099","4","Bacillariophyta_K00099,Haptophyta_K00099,High-light Pro_K00099,Crocosphaera_K00099"
"K01507","K01507","4","Bacillariophyta_K01507,Ochrophyta_K01507,Cyanothece_K01507,High-light Pro_K01507"
"K02879","K02879","4","Bacillariophyta_K02879,Haptophyta_K02879,High-light Pro_K02879,Crocosphaera_K02879"
"K00053","K00053","4","Bacillariophyta_K00053,Chlorophyta_K00053,Haptophyta_K00053,Crocosphaera_K00053"
"K06689","K06689","4","Bacillariophyta_K06689,Chlorophyta_K06689,Euglenozoa_K06689,Haptophyta_K06689"
"K03404","K03404","4","Bacillariophyta_K03404,Haptophyta_K03404,Sarcomastigophora_K03404,Crocosphaera_K03404"
"K05863","K05863","4","Bacillariophyta_K05863,Chlorophyta_K05863,Haptophyta_K05863,Ochrophyta_K05863"
"K09510","K09510","4","Bacillariophyta_K09510,Haptophyta_K09510,Rhodophyta_K09510,Sarcomastigophora_K09510"
"K15283","K15283","4","Bacillariophyta_K15283,Cryptophyta_K15283,Haptophyta_K15283,Ochrophyta_K15283"
"K04488","K04488","4","Bacillariophyta_K04488,Haptophyta_K04488,--_K04488,Actinobacteria_K04488"
"K01939","K01939","4","Bacillariophyta_K01939,Ochrophyta_K01939,SAR86_K01939,Crocosphaera_K01939"
"K00259","K00259","4","Bacillariophyta_K00259,Haptophyta_K00259,SAR11_K00259,Roseobacter_K00259"
"K00323","K00323","4","Bacillariophyta_K00323,Chlorarachniophyta_K00323,Haptophyta_K00323,Ochrophyta_K00323"
"K09584","K09584","4","Bacillariophyta_K09584,Chlorophyta_K09584,Cryptophyta_K09584,Haptophyta_K09584"
"K01900","K01900","4","Bacillariophyta_K01900,Chlorarachniophyta_K01900,Haptophyta_K01900,Ochrophyta_K01900"
"K01903","K01903","4","Bacillariophyta_K01903,Haptophyta_K01903,Ochrophyta_K01903,SAR92_K01903"
"K02902","K02902","4","Bacillariophyta_K02902,Haptophyta_K02902,High-light Pro_K02902,Crocosphaera_K02902"
"K01623","K01623","4","Bacillariophyta_K01623,Haptophyta_K01623,Crocosphaera_K01623,SAR86_K01623"
"K00248","K00248","4","Bacillariophyta_K00248,Bicosoecida_K00248,Haptophyta_K00248,Rhodophyta_K00248"
"K00255","K00255","4","Bacillariophyta_K00255,Bicosoecida_K00255,Haptophyta_K00255,Ochrophyta_K00255"
"K01953","K01953","4","Bacillariophyta_K01953,Chlorophyta_K01953,Rhodophyta_K01953,Crocosphaera_K01953"
"K00873","K00873","4","Bacillariophyta_K00873,Ochrophyta_K00873,Crocosphaera_K00873,Roseobacter_K00873"
"K00074","K00074","4","Bacillariophyta_K00074,Bicosoecida_K00074,Haptophyta_K00074,Ochrophyta_K00074"
"K01782","K01782","4","Bacillariophyta_K01782,Bicosoecida_K01782,Haptophyta_K01782,Ochrophyta_K01782"
"K08692","K08692","4","Bacillariophyta_K08692,Bicosoecida_K08692,Cryptophyta_K08692,Ochrophyta_K08692"
"K07516","K07516","4","Bacillariophyta_K07516,Haptophyta_K07516,OM60/NOR5_K07516,--_K07516"
"K00274","K00274","4","Bacillariophyta_K00274,Chlorophyta_K00274,Haptophyta_K00274,Ochrophyta_K00274"
"K01647","K01647","4","Bacillariophyta_K01647,Haptophyta_K01647,Ochrophyta_K01647,Crocosphaera_K01647"
"K12751","K12751","4","Bacillariophyta_K12751,Chlorarachniophyta_K12751,Chlorophyta_K12751,Ochrophyta_K12751"
"K08902","K08902","4","Bacillariophyta_K08902,Haptophyta_K08902,Crocosphaera_K08902,High-light Pro_K08902"
"K14637","K14637","4","Bacillariophyta_K14637,Chlorophyta_K14637,Haptophyta_K14637,Ochrophyta_K14637"
"K01825","K01825","4","Bacillariophyta_K01825,Bicosoecida_K01825,Haptophyta_K01825,Ochrophyta_K01825"
"K15779","K15779","4","Bacillariophyta_K15779,Cercozoa_K15779,Haptophyta_K15779,Ochrophyta_K15779"
"K11809","K11809","4","Bacillariophyta_K11809,Cercozoa_K11809,Haptophyta_K11809,Ochrophyta_K11809"
"K11731","K11731","4","Bacillariophyta_K11731,Haptophyta_K11731,Rhodophyta_K11731,Sarcomastigophora_K11731"
"K08917","K08917","4","Bacillariophyta_K08917,Cercozoa_K08917,Haptophyta_K08917,Rhodophyta_K08917"
"K14172","K14172","4","Bacillariophyta_K14172,Cercozoa_K14172,Chlorophyta_K14172,Cryptophyta_K14172"
"K08915","K08915","4","Bacillariophyta_K08915,Cryptophyta_K08915,Haptophyta_K08915,Ochrophyta_K08915"
"K12574","K12574","4","Bacillariophyta_K12574,Chlorarachniophyta_K12574,High-light Pro_K12574,Low-light Pro_K12574"
"K02694","K02694","4","Bacillariophyta_K02694,Eukaryota_K02694,Crocosphaera_K02694,High-light Pro_K02694"
"K10579","K10579","4","Bicosoecida_K10579,Cercozoa_K10579,Euglenozoa_K10579,Haptophyta_K10579"
"K02863","K02863","4","Bicosoecida_K02863,Haptophyta_K02863,High-light Pro_K02863,Crocosphaera_K02863"
"K17609","K17609","4","Bicosoecida_K17609,Cryptophyta_K17609,Haptophyta_K17609,Ochrophyta_K17609"
"K09565","K09565","4","Cercozoa_K09565,Chlorarachniophyta_K09565,Chlorophyta_K09565,Haptophyta_K09565"
"K00821","K00821","4","Cercozoa_K00821,Cryptophyta_K00821,Haptophyta_K00821,Ochrophyta_K00821"
"K01835","K01835","4","Cercozoa_K01835,Cryptophyta_K01835,Haptophyta_K01835,Crocosphaera_K01835"
"K08914","K08914","4","Cercozoa_K08914,Chlorophyta_K08914,Cryptophyta_K08914,Euglenozoa_K08914"
"K08912","K08912","4","Cercozoa_K08912,Chlorophyta_K08912,Cryptophyta_K08912,Euglenozoa_K08912"
"K02133","K02133","4","Chlorophyta_K02133,Cryptophyta_K02133,Haptophyta_K02133,Rhodophyta_K02133"
"K03770","K03770","4","Chlorophyta_K03770,Cryptophyta_K03770,SAR92_K03770,Other Alphaproteobacteria_K03770"
"K02412","K02412","4","Cryptophyta_K02412,Haptophyta_K02412,Firmicutes_K02412,SAR92_K02412"
"K01875","K01875","4","Cryptophyta_K01875,Haptophyta_K01875,Rhodophyta_K01875,Crocosphaera_K01875"
"K00033","K00033","4","Cryptophyta_K00033,Haptophyta_K00033,Crocosphaera_K00033,High-light Pro_K00033"
"K02357","K02357","4","Euglenozoa_K02357,Haptophyta_K02357,High-light Pro_K02357,Crocosphaera_K02357"
"K13303","K13303","4","Euglenozoa_K13303,Haptophyta_K13303,Ochrophyta_K13303,Rhodophyta_K13303"
"K03704","K03704","4","Haptophyta_K03704,Roseobacter_K03704,--_K03704,SAR11-like_K03704"
"K00297","K00297","4","Haptophyta_K00297,Crocosphaera_K00297,SAR11_K00297,High-light Pro_K00297"
"K03070","K03070","4","Haptophyta_K03070,SAR86_K03070,Crocosphaera_K03070,Roseobacter_K03070"
"K02931","K02931","4","Haptophyta_K02931,High-light Pro_K02931,Crocosphaera_K02931,Eukaryota_K02931"
"K05579","K05579","4","Haptophyta_K05579,High-light Pro_K05579,SAR11-like_K05579,Crocosphaera_K05579"
"K01662","K01662","4","Haptophyta_K01662,Roseobacter_K01662,Crocosphaera_K01662,High-light Pro_K01662"
"K00432","K00432","4","Haptophyta_K00432,Sarcomastigophora_K00432,Roseobacter_K00432,SAR86_K00432"
"K03701","K03701","4","Haptophyta_K03701,Roseobacter_K03701,SAR116_K03701,SAR92_K03701"
"K13993","K13993","4","Haptophyta_K13993,Marinimicrobia_K13993,Crocosphaera_K13993,Chloroflexi_K13993"
"K02961","K02961","4","Haptophyta_K02961,High-light Pro_K02961,Crocosphaera_K02961,SAR92_K02961"
"K01419","K01419","4","Haptophyta_K01419,SAR92_K01419,SAR11-like_K01419,Other Gammaproteobacteria_K01419"
"K03530","K03530","4","Haptophyta_K03530,High-light Pro_K03530,SAR86_K03530,Other Alphaproteobacteria_K03530"
"K02890","K02890","4","Ochrophyta_K02890,High-light Pro_K02890,Eukaryota_K02890,Crocosphaera_K02890"
"K00643","K00643","4","Rhodophyta_K00643,SAR11-like_K00643,Roseobacter_K00643,Marinimicrobia_K00643"
"K03553","K03553","4","High-light Pro_K03553,Crocosphaera_K03553,SAR86_K03553,Other Alphaproteobacteria_K03553"
"K00315","K00315","4","Roseobacter_K00315,Other Alphaproteobacteria_K00315,SAR11_K00315,SAR11-like_K00315"
"K06204","K06204","4","Other Alphaproteobacteria_K06204,Roseobacter_K06204,SAR324_K06204,SAR86_K06204"
"K02110","K02110","4","Eukaryota_K02110,High-light Pro_K02110,--_K02110,Flavobacteriia_K02110"
"K02933","K02933","4","Eukaryota_K02933,High-light Pro_K02933,Crocosphaera_K02933,OM60/NOR5_K02933"
"K02939","K02939","4","High-light Pro_K02939,Crocosphaera_K02939,SAR86_K02939,Roseobacter_K02939"
"K04752","K04752","4","High-light Pro_K04752,SAR92_K04752,SAR86_K04752,Other Gammaproteobacteria_K04752"
"K02959","K02959","4","High-light Pro_K02959,SAR92_K02959,Eukaryota_K02959,SAR11-like_K02959"
"K10439","K10439","4","SAR11-like_K10439,Roseobacter_K10439,Other Gammaproteobacteria_K10439,Rivulariaceae_K10439"
"K04039","K04039","4","High-light Pro_K04039,Crocosphaera_K04039,OM60/NOR5_K04039,Other Alphaproteobacteria_K04039"
"K00330","K00330","4","SAR11-like_K00330,Other Alphaproteobacteria_K00330,Eukaryota_K00330,SAR11_K00330"
"K02946","K02946","4","High-light Pro_K02946,Eukaryota_K02946,SAR86_K02946,--_K02946"
"K07304","K07304","4","High-light Pro_K07304,SAR11_K07304,SAR11-like_K07304,SAR92_K07304"
